"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820022652195","Паста рибна Адміральська 150г","45.12","40.00","64.00","0","0.00","0.00","0.00"
"2","4820244790743","Морська капуста ""Бабусине літо"" 500г","55.00","30.91","72.00","0","0.00","0.00","0.00"
"3","4820244790774","Салат шанхай з селерою морська капуста 300г","35.00","31.43","46.00","0","0.00","0.00","0.00"
"4","4820282160065","Мідії Дари нептуна 300г","105.00","30.00","137.00","0","1.00","105.00","137.00"

