"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"106","4823009205827","Морозиво хрещатик плодово-ягідне у вафельному стаканчику 90 г","32.40","30.00","42.00","0","22.00","712.80","924.00"
"107","4823009205834","Морозиво плодово-ягідне хрещатик 80 г","37.80","30.00","50.00","0","20.00","756.00","1,000.00"
"108","4823009208019","МОРОЗИВО  у вафельному стаканчику ПЛОМБІР ХРЕЩАТИК 100Г","39.00","30.00","51.00","0","23.00","897.00","1,173.00"
"109","4823009208026","МОРОЗИВО у вафельному стаканчику ШОКОЛАДНИЙ ПЛОМБІР ХРЕЩАТИК 100Г","33.00","24.24","41.00","0","0.00","0.00","0.00"
"110","4823124700436","Морозиво стакан ківі-манго Ласунка 70г","21.00","30.00","28.00","0","7.00","147.00","196.00"
"111","4823124701068","Люба-Буба ріжок 2кольори Ласунка 155г","61.74","33.00","80.00","0","4.00","246.96","320.00"
"112","4823124701181","Ескімо Лев фісташка Ласунка 80г","53.00","30.19","69.00","0","1.00","53.00","69.00"
"113","4823124701754","Сирок молоко згущене Великан Ласунка 45г","22.00","31.82","29.00","0","0.00","0.00","0.00"
"114","4823124702683","Ескімо пломбір з глазурю 80г Ласунка","33.00","30.30","43.00","0","10.00","330.00","430.00"
"115","4823124703628","морозиво ласунка гран-прі вишня ріжок 155 г","60.00","33.00","80.00","0","9.00","540.00","720.00"
"116","4823124703666","Морозиво Міх де люкс з карамельним соусом 600 г ласунка","200.28","35.00","270.00","0","0.00","0.00","0.00"
"117","4823124703840","Морозиво Ласунка пломбір Великий стакан Н  100 г крем-брюле  з наповн арахіс- кленовий сироп","37.44","33.00","50.00","0","6.00","224.64","300.00"
"118","5907504101040","Лід фрукт заморожений Польща 40мл","3.80","150.00","10.00","0","41.00","155.80","410.00"

