"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"117","2804113002245","Ковбаса сирокопчена Салямі золотиста Горянка","475.68","35.00","642.00","1","0.00","0.00","0.00"
"118","2804176003067","Ковбаски сорокопчен в/г і Мінісалямки перша столиця","439.20","50.00","659.00","1","0.00","0.00","0.00"
"119","2806104003323","Ковбаса сирокопчена салямі верона Горянка","383.52","50.00","576.00","1","0.27","102.02","153.22"
"120","2990770006709","Ковбаса варена філейна забіяка","185.64","35.00","250.00","1","0.00","0.00","0.00"
"121","2992370005861","Ковбаски н/к Єгерські забіяка","206.88","40.00","298.00","1","0.00","0.00","0.00"
"122","2996970019907","Ковбаса вар бутербродна забіяка 2.1","119.04","35.00","161.00","1","0.35","41.07","55.55"
"123","2997180019848","Ковбаса варена бутербродна з салом Забіяка","125.00","29.60","162.00","0","0.00","0.00","0.00"
"124","2997660006955","Ковбаски н/к часникові забіяка","176.16","40.00","255.00","1","0.00","0.00","0.00"
"125","2999010004383","Салямі напівкопчена королівська з сиром Забіяка","200.00","30.00","260.00","1","0.00","0.00","0.00"
"126","2999290004691","Ковбаса напівкопчена Забіяка","300.00","30.33","391.00","1","0.00","0.00","0.00"
"127","4820246260091","Мясна історія ковбаса с/к Парма нарізна","53.28","40.00","75.00","0","4.00","213.12","300.00"
"128","4820246260107","Мясна історія ковбаса с/к Столична нарізна","57.84","40.00","81.00","0","2.00","115.68","162.00"
"129","4820246260114","Ковбаса сиро-копчена з м'яса птиці альпійська нарізна М'ясна історія 70г","46.80","45.00","68.00","0","0.00","0.00","0.00"
"130","4820246260145","Кабаноси сиро-копчені саляміні пармезан М'ясна історія 70г","52.44","30.00","73.00","0","3.00","157.32","219.00"
"131","4820246260152","Кабаноси сиро-копчені саляміні паприкано М'ясна історія 70г","52.44","40.00","73.00","0","2.00","104.88","146.00"
"132","4820246260169","Ковбаски Саляміні  с/к оригінал 70 г Мясна історія","52.44","40.00","73.00","0","0.00","0.00","0.00"
"133","4822005002553","Ковбаса варено-копчена українська  Ходорівський м'ясокомбінат","380.00","30.26","495.00","0","0.00","0.00","0.00"
"134","4822005008272","Ковбаса Губернаторська Ходорівський м'ясокомбінат","436.00","30.05","567.00","0","0.00","0.00","0.00"
"135","7700000012470","ковб домашня на дровах олесинська","280.00","40.00","392.00","1","1.76","493.92","691.49"
"136","7700000012487","ковб салямі суха олесинська","306.00","38.00","422.00","1","0.00","0.00","0.00"
"137","7700000012494","ковбаски шашличні олесинська","252.00","40.00","353.00","1","0.00","0.00","0.00"
"138","7700000012562","реберця марин кленовий бурбон","117.00","40.00","164.00","1","0.00","0.00","0.00"
"139","7700000012579","ковбаски зальцбурські білі","202.96","35.00","345.00","1","0.00","0.00","0.00"
"140","7700000012586","Ковбаски мюнхенські олесинська мясна лінія","226.00","35.00","305.00","1","0.00","0.00","0.00"
"141","7700000012630","ковбаса варена теляча з вершками в с вектор 500г мясна історія","85.80","40.00","120.00","0","1.00","85.80","120.00"

