"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"56","4820048615396","Чупачупс ChupaChups 50шт 11г","7.00","30.00","10.00","0","2.00","14.00","20.00"
"57","4820075502515","Цукерки шоколадні ""Millenium Рив'єра"" АСОРТІ 250г","139.35","40.00","200.00","0","1.00","139.35","200.00"
"58","4820075509002","Цукерки коробка міленіум коктель 170 г","84.25","30.00","110.00","0","0.00","0.00","0.00"
"59","4820112366247","Цукерки Ромашка слобожанська кг","180.00","30.56","235.00","1","0.02","3.78","4.94"
"60","4820112367411","цукерки стікляшка","133.00","40.00","186.00","1","0.61","80.47","112.53"
"61","4820112368326","Цукерки ""Муар""  250 гр   БЕСКВІТ-ШОКОДАД","108.00","57.41","170.00","0","0.00","0.00","0.00"
"62","4820112368401","Цукерки в коробці ""Асорті"" 200г (Харків)","157.70","40.00","221.00","0","2.00","315.40","442.00"
"63","4820112368791","Цукерки ""Батончик"" з какао Харків","270.88","38.00","374.00","1","0.00","0.00","0.00"
"64","4820141650454","Цукерки *Тарас Бульба* Набір 500г.(Мрія)","217.00","29.95","282.00","0","0.00","0.00","0.00"
"65","4820141651116","Цукерки Валентіно 185г. Maria","113.13","30.09","148.00","0","0.00","0.00","0.00"
"66","4820141656340","Набір цукерок СЛАВА УКРАЇНІ ТМ Марія 450г","159.00","30.19","207.00","0","0.00","0.00","0.00"
"67","4820141656357","Сувенірний набір цукерок «Ой у лузі червона калина» 0,5кг","217.00","29.95","282.00","0","0.00","0.00","0.00"
"68","4820148610222","Чорнослив з горіхом 1кг *Аетис*","355.00","30.09","480.00","1","0.22","78.10","105.60"
"69","4820148613278","Цукерки  тортіні Київ (Дубаї)","340.00","35.00","460.00","1","0.00","0.00","0.00"
"70","4820148613414","Цукерки тортіні Київ (кофе)","340.00","35.00","460.00","1","0.54","184.28","249.32"
"71","4820169223661","SweeTale з арахісом 30г","10.00","30.00","13.00","0","1.00","10.00","13.00"
"72","4820169223807","SweetTale з рисовими кульками","10.00","30.00","13.00","0","4.00","40.00","52.00"
"73","4820169224361","Цукерки ""Olly"" з кокосовою начинкою","288.00","30.21","375.00","1","0.00","0.00","0.00"
"74","4820176204387","Вівсяне печиво фасоване Тасман","98.00","37.00","135.00","1","0.87","85.26","117.45"
"75","4820177030770","Цукерки ""Пташине молоко"" Жако","201.91","29.73","270.00","1","0.00","0.00","0.00"
"76","4820182003011","цукерки коробка труфіно 200г","72.70","35.00","100.00","0","0.00","0.00","0.00"
"77","4820195090909","Цукерки Стіла Житомир Ласощі 200г","185.00","29.73","240.00","0","1.00","185.00","240.00"
"78","4820195091715","Цукерки коробка ""Вишня заспиртована в шоколадній глазурі"" 205г Житомир Ласощі","165.00","29.70","214.00","0","1.00","165.00","214.00"
"79","4820206080622","Страйпс ябл.-виш. 14 г. Равлик Боб","15.00","33.33","20.00","0","0.00","0.00","0.00"
"80","4820206080738","цукерка фруктово-ягідна яблучно-малиновий страйп 14 г равлик боб","15.78","30.00","21.00","0","3.00","47.34","63.00"
"81","4820206080752","Цукерки""Равлик Боб"" грушево-манговий страйп 14г.","15.00","33.33","20.00","0","0.00","0.00","0.00"
"82","4820206080912","Цукерки""Равлик Боб"" грушево-ананасовий страйп 14г.","15.00","33.33","20.00","0","0.00","0.00","0.00"
"83","4820206080929","Bob Snail страйпси яблучно-смородинові 14г","15.00","33.33","20.00","0","0.00","0.00","0.00"
"84","4820208388054","Цукерки мікс чорносливу і кураги","300.13","35.00","405.00","1","2.40","720.31","972.00"
"85","4820208388597","Драже мікс горішків 150 г тоня","69.86","30.00","100.00","0","3.00","209.58","300.00"
"86","4820212961595","Драже олівець чокотабс 22 г","12.45","60.64","23.00","0","16.00","199.20","368.00"
"87","4820219342458","Натуральна цукерка Боб снейл хурма 14 г","15.00","33.33","20.00","0","0.00","0.00","0.00"
"88","4820219344247","Цукерка фруктова Яблучний страйп 14 г","15.78","30.00","21.00","0","2.00","31.56","42.00"
"89","4820219349280","Набір Bob Snail Манго та іграшка брелок","65.22","29.03","85.00","0","0.00","0.00","0.00"
"90","4820240034421","Цукерки VEry Perri Міленіум коробка","88.60","35.00","120.00","0","1.00","88.60","120.00"
"91","4820270931370","Жувальна цукерка ""Toffi Time"" з смаком абрикосу","8.00","25.00","10.00","0","0.00","0.00","0.00"
"92","4820272982974","Желейні цукерки ""ФрутМікс""","25.00","30.08","35.00","0","1.00","25.00","35.00"
"93","4820289982530","Набір цукерок асорті тоня","0.01","0.00","105.00","0","0.00","0.00","0.00"
"94","4820289982677","Цукерки сенті з нач. см. молочного лікеру тоня","225.94","35.00","305.00","1","0.00","0.00","0.00"
"95","4823000907928","Цукерки зоряне сяйво Світоч","349.25","35.00","472.00","1","1.83","639.83","864.70"
"96","4823000914476","Цукерки ромашка Світоч","248.00","29.78","347.00","1","0.45","110.61","154.76"
"97","4823000919471","СВІТОЧ цукерки  ПАЛІТРА АСОРТІ в чорному шоколаді. короб. 200гр.","150.00","30.00","195.00","0","0.00","0.00","0.00"
"98","4823077603990","Цукерки рошен соренто","232.90","35.00","315.00","1","1.10","257.12","347.76"
"99","4823077604331","Льодяники цитрусовий мікс 1кг Рошен","117.00","30.00","155.00","1","0.00","0.00","0.00"
"100","4823077604379","КАРАМЕЛЬ Рачки ВКФ 1кг","148.20","35.00","200.00","1","0.49","72.62","98.00"
"101","4823077605215","Цукерки рошен ""Jelly""","121.05","40.00","190.00","1","2.06","249.73","391.97"
"102","4823077605376","Цукерки рошен карамель мол-коф начинкою","148.20","35.00","200.00","1","1.15","170.58","230.20"
"103","4823077607066","Цукерки Рошен Еклер з какао нач.","170.05","35.00","230.00","1","3.22","547.56","740.60"
"104","4823077607493","Карамелькино Барбарис Roshen","112.95","30.43","150.00","1","1.47","165.58","219.90"
"105","4823077607530","Карамелькино Дюшес Roshen","112.95","30.43","150.00","1","1.97","222.85","295.95"
"106","4823077611933","Цукерки РОШЕН   Assortment Elegant Молочний шоколад 145г ККК","154.00","35.00","208.00","0","0.00","0.00","0.00"
"107","4823077611940","Цукерки РОШЕН   Assortment Classik Чорний шоколад 154г ККК","154.00","35.00","208.00","0","0.00","0.00","0.00"
"108","4823077612855","Ірис Roshen Склянка молока з молочною начинкою","212.55","30.23","280.00","1","1.14","242.31","319.20"
"109","4823077624001","Цукерки Рошен Канді Нат червона","214.55","35.00","290.00","1","0.22","47.20","63.80"
"110","4823077625879","Цукерки ""Рошен"" Комплімент Шоколадні 145г (коробка)","154.00","35.00","208.00","0","0.00","0.00","0.00"
"111","4823077632327","Цукерки РОШЕН ""Mintex Mint"" карамель","121.05","30.08","163.00","1","1.15","139.69","188.10"
"112","4823077632495","Цукерки монблан","540.45","35.00","744.00","1","0.18","99.44","136.90"
"113","4823077639135","Цукерки ""Mintex"" зі смаком ягід та ментолу","121.05","30.08","163.00","1","1.08","130.37","175.55"
"114","4823077639142","Цукерки мятна мінтекс лимон","121.05","35.00","163.00","1","1.00","121.05","163.00"
"115","4823077643798","Цукерки бері льодяники рошен","121.05","35.00","165.00","1","2.06","249.85","340.56"
"116","4823077645105","Вафлі Рошен Вершки Лінивці","214.55","35.00","290.00","1","0.61","130.88","176.90"
"117","4823077651526","Цукерки рошен асорті труфель 148 г","154.00","35.00","208.00","0","0.00","0.00","0.00"
"118","4823077651625","цукерки чері вишня","232.80","35.00","314.00","1","0.00","0.00","0.00"
"119","4823077651908","цукерки кріспі","334.80","35.00","452.00","1","0.00","0.00","0.00"
"120","4823088402513","Цукерки Cherry (нова коробка) 200","94.54","32.22","125.00","0","0.00","0.00","0.00"
"121","4823088402520","Цукерки Raspberry (нова коробка) 200","78.78","58.67","125.00","0","0.00","0.00","0.00"
"122","4823088403022","Цукерки Вишня заспиртована (285)","186.79","31.16","245.00","0","0.00","0.00","0.00"
"123","4823088403039","Цукерки Вишня заспиртована в шоколаді 190 г","127.90","35.00","170.00","0","1.00","127.90","170.00"
"124","4823088405736","ЦУКЕРКИ,,КРЕМ ЛАТТЕ,,ПШЕНИЧНИЙ","1.00","27,200.00","273.00","1","1.00","1.00","273.00"
"125","4823088408973","Цукерки збивні суфле-желе з яблуком 2.5кг","218.52","40.00","306.00","1","1.49","324.72","454.72"
"126","4823088602999","Конті цукерки AMOUR cherry 151 гр","141.92","40.00","199.00","0","0.00","0.00","0.00"
"127","4823088605600","Цукерки Золота лілія ваг КОНТІ фісташка","200.50","35.00","271.00","1","0.04","7.62","10.30"
"128","4823088606478","Цукерки крем-йогурт смак вишня-черешня","200.95","35.00","271.00","1","0.87","174.83","235.77"
"129","4823088608205","десерт бонжур зі смаком манго 232г","80.53","35.00","110.00","0","1.00","80.53","110.00"
"130","4823088608878","Цукерки Cafe DeKonte 1 кг. Конті","166.85","35.00","225.00","1","0.00","0.00","0.00"
"131","4823088613056","Цукерки золота лілія конті 150г","93.62","40.00","131.00","0","1.00","93.62","131.00"
"132","4823088613469","десерт бонжур класика фас 348","130.94","35.00","177.00","0","1.00","130.94","177.00"
"133","4823088613483","десерт бонжур смак полуниці з вершкамим 348г","130.94","35.00","177.00","0","1.00","130.94","177.00"
"134","4823103002131","Цукерка монель Diet","286.00","25.17","358.00","1","0.00","0.00","0.00"
"135","4823105802494","Цукерки ""Trufalie"" АВК","344.75","35.00","466.00","1","0.49","167.55","226.48"
"136","4823105815869","Цук шарм вершковий АВК тубус 235 г","105.35","35.00","142.00","0","1.00","105.35","142.00"
"137","4823105815890","Цукерки ""Королівський шарм"" з горіховим кремом","316.20","35.00","427.00","1","0.47","147.98","199.84"
"138","4823105815913","Цук шарм горіх АВК тубус 235 г","105.35","35.00","142.00","0","1.00","105.35","142.00"
"139","4823105816040","Цукерки ""Королівський шарм"" з шоколадним кремом","316.20","35.00","428.00","1","1.20","378.81","512.74"
"140","4823124604703","Маршмеллоу Веселі пружинки з ароматом полуниці ТМ фрумі 75 г","24.66","35.00","34.00","0","0.00","0.00","0.00"
"141","4823124604710","маршмелоу Тучки-штучки 75 г ТМ фрумі","24.66","35.00","34.00","0","0.00","0.00","0.00"
"142","5420066330708","Цукерки біянка труфель cocoa 150г","87.50","40.00","123.00","0","0.00","0.00","0.00"
"143","5420066330746","Цукерки біянка труфель sea salt 150г","87.50","40.00","123.00","0","0.00","0.00","0.00"
"144","5420066330777","Цукерки біянка труфель оранж 150г","87.50","40.00","123.00","0","0.00","0.00","0.00"
"145","5420066330784","Цукерки біянка труфель speculoos 150г","87.50","40.00","123.00","0","0.00","0.00","0.00"
"146","6970895716888","Цукерки квіточка льодяники","380.00","40.00","532.00","1","0.44","165.68","231.95"
"147","6976685700792","Цукерки желейні Galaxy Jelly маракуя, гуава, полуниця, виноград","6.00","33.33","8.00","0","0.00","0.00","0.00"
"148","7614500010013","Швейцарский молочний шоколад с медово-миндал нугой ""Toblerone"", 100 г.","70.00","40.00","98.00","0","2.00","140.00","196.00"
"149","7614500010310","Білый шоколад з медом и миндал нугой ""Toblerone/Тоблерон"" 100г","70.00","40.00","98.00","0","2.00","140.00","196.00"
"150","7622201430733","Жувальні цукерки Холз зі смаком кавуна 47 г","24.06","40.00","34.00","0","5.00","120.30","170.00"
"151","7622210671035","Цукерки Льодяники ""Холлс"" лісові ягоди","16.86","40.00","25.00","0","7.00","118.02","175.00"
"152","7622210722416","Цукерки Льодяники ""Холлс"" ментол екстра","16.86","40.00","25.00","0","5.00","84.30","125.00"
"153","8000500023976","Цукерки ""Raffaello"", 150 г","167.35","30.00","218.00","0","3.00","502.05","654.00"
"154","8682091101754","Цукерки на планшеті CECE BON","16.00","25.00","20.00","0","0.00","0.00","0.00"
"155","8693029030077","Цукерки ""Toffix"" Elvan","165.00","35.00","236.00","1","1.19","195.86","280.13"
"156","8935001711483","Ментос Радуга жеват. драже 30г","19.00","50.00","28.00","0","0.00","0.00","0.00"
"157","9002859038747","цукерки труфель 200г","117.00","35.00","158.00","0","0.00","0.00","0.00"
"158","9002859038761","Цукерки зі смаком кави Truffles Gold 200g","115.00","37.00","158.00","0","0.00","0.00","0.00"
"159","9002859102172","Цукерки трюфель зі смаком апельсину 200г","115.00","37.00","158.00","0","0.00","0.00","0.00"
"160","9002859121975","Цукерки труфель 200г карамель солона","115.00","37.00","158.00","0","0.00","0.00","0.00"

