"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820097803676","Корм для котів МУСЯ МІКС","68.50","81.82","110.00","1","9.68","662.81","1,064.36"
"2","4820255193991","Корм для котів мясний  100 г веченя біле меню","0.01","0.00","15.00","0","4.00","0.04","60.00"
"3","4820255194622","Шматочки у соусі MIX, 3*8шт*100,п/е ТМ Біле Меню","10.23","30.00","15.00","0","0.00","0.00","0.00"
"4","4820255194646","Шматочки мясні для дорослих котів вечнря біле меню 100 г","10.23","30.00","15.00","0","12.00","122.76","180.00"
"5","48202551946639","Шматочки у соусі обід для дорослих котів з яловичиною 100 г біле меню","10.23","30.00","15.00","0","16.00","163.68","240.00"

