"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820070705294","феєрверк 8см 4шт","40.00","80.00","72.00","0","0.00","0.00","0.00"
"2","6903501025012","карти дама","4.20","300.00","20.00","0","4.00","16.80","80.00"
"3","6971414031284","СВІЧКИ В ТОРТ КАРАНДАШ срібні","60.00","66.67","100.00","0","0.00","0.00","0.00"
"4","7700000010865","Шарік цифра 4 золот","25.00","80.00","45.00","0","1.00","25.00","45.00"
"5","7700000010872","Гірлянда картонна святкова дитяча","35.00","40.00","49.00","0","1.00","35.00","49.00"
"6","8021886098013","Повітряна кулька пастель асорті 10"" 26 см G 90/80","1.50","300.00","6.00","0","48.00","72.00","288.00"
"7","8021886098211","Првітряна кулька металік асорті 10"" 26 см GM 90/82","1.90","300.00","8.00","0","68.00","129.20","544.00"
"8","8021886914191","Кульки""День Народження"" GD 90","2.20","300.00","8.00","0","69.00","151.80","552.00"

