"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820001724134","Шамп""Салюте Асті""вин.ігр0,75","144.40","30.00","188.00","0","1.00","144.40","188.00"
"2","4820022540218","Шампан.дитяче *Фрукт.Карнавал* 0,75 л.с/б","63.00","40.00","88.00","0","3.00","189.00","264.00"
"3","4820197566303","Напій алкогольний сильногаз сухий білий Болград 0.750","114.60","25.00","143.00","0","0.00","0.00","0.00"
"4","4820271512080","Напій винний слабоалкогольний газований напівсолодкий білий ""Фраголіно Салюте Бьянко"" 0,75л","119.64","35.00","162.00","0","0.00","0.00","0.00"
"5","4820271513094","Фраголіно біанко вермонте 750 г","105.00","35.00","142.00","0","1.00","105.00","142.00"
"6","4820301160014","Фраголіно напій винний слаб.газ.нс Туріно 0.75","129.66","35.00","175.00","0","3.00","388.98","525.00"
"7","8004300365212","Винний напій Фраголіно біле 0,750  Італія Фальгонеті","139.54","30.00","190.00","0","2.00","279.08","380.00"
"8","8007531100379","Винний напій солодкий Песка 0.75 л ТМ Фонтале","146.25","35.00","197.00","0","0.00","0.00","0.00"

