"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"54","8700216203838","Дезодорант old spice rockstar сухий","90.00","38.89","125.00","0","0.00","0.00","0.00"
"55","8700216203982","Сух дез олд спайс кептан 50 м","100.13","39.82","140.00","0","1.00","100.13","140.00"
"56","8700216304825","Шампунь хеден menthol fresh 2in1 330ml","133.00","29.32","172.00","0","2.00","266.00","344.00"
"57","870021632746","Олд спайс гель для душу+ шампунь 2в1 400 мл","123.16","40.00","172.00","0","1.00","123.16","172.00"
"58","8700216611046","гель для душу OLD SPICE 400 мл","120.00","35.00","162.00","0","0.00","0.00","0.00"
"59","8700216884662","Дезодерант ОЛД СПАЙС 50 г стік Bearglove","94.00","35.00","127.00","0","0.00","0.00","0.00"
"60","8710847864766","Rexona Citrus fresh 48h men","110.00","36.36","150.00","0","1.00","110.00","150.00"
"61","8710847864919","Рексона дезод. муж. 150мл Морская св-ть","110.00","33.33","150.00","0","0.00","0.00","0.00"
"62","8710847959622","клиар мен аутивспорт","100.00","30.00","130.00","0","2.00","200.00","260.00"
"63","8710908381218","Дав ШАМПУНЬ MEN+CARE проти випадіння волосся для чол., 400 мл","164.00","35.37","222.00","0","0.00","0.00","0.00"
"64","8710908554094","Дав спрей чоловічий Мінеральна пудра та сандалове дерево","121.00","35.54","164.00","0","1.00","121.00","164.00"
"65","8712561450478","Шампунь Clear Vita ABE Проти лупи для жінок Захист від випадіння волосся 250мл","95.00","29.47","123.00","0","0.00","0.00","0.00"
"66","8712561488280","Шампунь Dove Хеа Терапі Інтенсивне відновлення 400мл","161.00","36.15","220.00","0","1.00","161.00","220.00"
"67","8712561534444","Антиперспірант аерозоль Rexona MEN Інвізібл для чорного та бiлого 150мл","110.00","36.36","150.00","0","0.00","0.00","0.00"
"68","8712561888349","Шампунь Dove repair Therapy Інтенсивне відновлення 250мл","95.00","33.68","127.00","0","0.00","0.00","0.00"
"69","8720181242007","Шампунь Clear чол.360мл","170.00","29.41","220.00","0","0.00","0.00","0.00"
"70","8720181284328","Антиперспірант Аерозоль Dove men комфорт чистоти 72 години","121.00","35.54","164.00","0","1.00","121.00","164.00"
"71","8720181284885","Антиперспірант аерозоль DOVE MEN+CARE ПРОХОЛОДНА СВІЖІСТЬ 72 ГОД","110.00","40.00","154.00","0","2.00","220.00","308.00"
"72","8720181291418","Дезодорант дав спрей жін 150мл","105.00","40.00","147.00","0","0.00","0.00","0.00"
"73","8720181402340","Шампунь Dove Ультрадогляд з АЛОЕ ТА ТРОЯНДОВОЮ ВОДОЮ","161.00","36.15","220.00","0","2.00","322.00","440.00"
"74","8720181458910","Шампунь проти лупи для жінок захист від випадіння Clear","155.00","29.03","200.00","0","1.00","155.00","200.00"
"75","8720181564055","Рексона прозорий кристал жін","88.00","30.68","115.00","0","0.00","0.00","0.00"
"76","8720181564079","Дезодорант рексона спрей жін 150мл","95.00","40.00","133.00","0","0.00","0.00","0.00"
"77","8720181564086","Антиперспірант Аерозоль REXONA чистий діамант","90.00","33.33","120.00","0","0.00","0.00","0.00"
"78","8720181564130","Антиперспірант свіжість чорно-біле","88.00","30.68","115.00","0","0.00","0.00","0.00"
"79","8720633004023","Крем для рук КОРОЛІВСЬКА АРГАНА","50.00","40.00","70.00","0","1.00","50.00","70.00"
"80","8901248101042","Крем боро плюс 25г фиолетовый","65.00","66.67","120.00","0","6.00","390.00","720.00"
"81","8901248101240","Боро Плюс Антисептичний крем, трав""яний букет, 25 мл","65.00","66.67","120.00","0","6.00","390.00","720.00"
"82","9000100398435","Шампунь Gliss Oil Nutritive з Омега 9 + олія марули 250 мл","130.00","7.69","140.00","0","0.00","0.00","0.00"
"83","9000100549691","Шампунь Gliss Schwarzkopf Color perfector 400ml","155.00","29.03","200.00","0","0.00","0.00","0.00"
"84","9000100549837","А Шампунь Гліскур 400 мл для посіченого","140.00","35.71","190.00","0","1.00","140.00","190.00"
"85","9000100663410","Шампунь Schwarzkopf Gliss Kur Keratin 400гр","145.00","35.00","198.00","0","2.00","290.00","396.00"
"86","9000100801416","Шампунь Gliss Ultimate Repair з рідкий кератин 250 мл","130.00","30.77","170.00","0","0.00","0.00","0.00"
"87","9000100860246","Шампунь  шаума 400 мл SPORT POWER чол","110.00","31.82","145.00","0","0.00","0.00","0.00"
"88","9000100923071","Лак тафт ultimate 5+","150.00","30.67","196.00","0","4.00","600.00","784.00"
"89","9000101287332","Шампунь Gliss Split Ends Miracle з Іонік Комплекс  250мл","130.00","30.77","170.00","0","1.00","130.00","170.00"
"90","96125595","Дав чоловічий синій","80.00","37.50","110.00","0","1.00","80.00","110.00"

