"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1223","Салака холодного копчення з головою","150.00","50.00","220.00","1","0.00","0.00","0.00"
"2","2199999003647","[Marlin] Скумбрія х/к вакуум","460.00","30.00","620.00","1","0.92","423.20","570.40"
"3","2202728902002","Салака холодного копченя 200 г дуб тарілочка","50.00","40.00","70.00","0","2.00","100.00","140.00"
"4","220296630390","Риба скумбрія копч вакуум","460.00","40.00","644.00","1","0.00","0.00","0.00"
"5","7700000011985","Салака холодного копчення  улов 200г","52.00","32.08","70.00","0","0.00","0.00","0.00"

