"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1019","Скумбрія морожена","215.00","40.10","301.00","1","12.75","2,740.82","3,837.15"
"2","1020","Хек морожений","177.00","40.00","265.00","1","12.03","2,129.31","3,187.95"
"3","1021","Хребти червоної риби (лосося)","85.00","40.66","130.00","1","12.81","1,088.51","1,664.78"
"4","1022","Телапія морожена філе","155.00","40.24","230.00","1","6.66","1,032.92","1,532.72"
"5","1023","Салака морожена","100.00","40.00","140.00","1","0.00","0.00","0.00"
"6","1024","Філе мінтая","161.00","39.75","225.00","1","0.00","0.00","0.00"
"7","1181","Філе хека","170.00","41.18","240.00","1","0.07","11.90","16.80"

