"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1288","Нарізка масляна асорті (тунець, масляна, форель ) 120 г","176.40","40.00","247.00","0","0.00","0.00","0.00"
"2","3482010011318","Сьомга - шматок, с/с, вакуум, 0,130 кг","175.20","40.00","245.00","0","0.00","0.00","0.00"
"3","3482200000207","Сьомга-філе нарізна вакуум 100 г Рибна фішка","134.76","30.00","175.00","0","0.00","0.00","0.00"
"4","4820022653505","Сьомга сс Ніжна пивний набір 100 г","41.88","35.00","59.00","0","0.00","0.00","0.00"
"5","4820022655455","Сьомга зі спеціями від шефа 200 г","81.60","35.00","110.00","0","1.00","81.60","110.00"

