"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","5904517001428","ліпучка на мухи брос","5.40","200.00","20.00","0","70.00","378.00","1,400.00"
"2","5904517064256","BROS липкая лента от мух.","10.00","100.00","20.00","0","1.00","10.00","20.00"
"3","745114986665","дихлофос 300","42.00","40.00","60.00","0","11.00","462.00","660.00"
"4","745114986887","Аэрозоль от комаров","60.00","50.00","90.00","0","1.00","60.00","90.00"

